url,label,kind,paint_type,color,color_family,glans,full_code,sku,product_handle,slug
https://www.denlillemalerfabrik.dk/qr/dlm10-0703-g5,Vægmaling — Kobber · Glans 5,color,Vægmaling,Kobber,,5,DLM10-0703,DLM10-0703-G5-10L,vaegmaling-glans-5,/qr/dlm10-0703-g5
https://www.denlillemalerfabrik.dk/qr/dlm10-0703-g7,Vægmaling — Kobber · Glans 7,color,Vægmaling,Kobber,,7,DLM10-0703,DLM10-0703-G7-10L,vaegmaling-glans-7,/qr/dlm10-0703-g7
https://www.denlillemalerfabrik.dk/qr/dlm10-0703-g10,Vægmaling — Kobber · Glans 10,color,Vægmaling,Kobber,,10,DLM10-0703,DLM10-0703-G10-10L,vaegmaling-glans-10,/qr/dlm10-0703-g10
https://www.denlillemalerfabrik.dk/qr/dlm10-0703-g20,Vægmaling — Kobber · Glans 20,color,Vægmaling,Kobber,,20,DLM10-0703,DLM10-0703-G20-10L,vaegmaling-glans-20,/qr/dlm10-0703-g20
https://www.denlillemalerfabrik.dk/qr/dlm10-0704-g5,Vægmaling — Terracotta · Glans 5,color,Vægmaling,Terracotta,,5,DLM10-0704,DLM10-0704-G5-10L,vaegmaling-glans-5,/qr/dlm10-0704-g5
https://www.denlillemalerfabrik.dk/qr/dlm10-0704-g7,Vægmaling — Terracotta · Glans 7,color,Vægmaling,Terracotta,,7,DLM10-0704,DLM10-0704-G7-10L,vaegmaling-glans-7,/qr/dlm10-0704-g7
https://www.denlillemalerfabrik.dk/qr/dlm10-0704-g10,Vægmaling — Terracotta · Glans 10,color,Vægmaling,Terracotta,,10,DLM10-0704,DLM10-0704-G10-10L,vaegmaling-glans-10,/qr/dlm10-0704-g10
https://www.denlillemalerfabrik.dk/qr/dlm10-0704-g20,Vægmaling — Terracotta · Glans 20,color,Vægmaling,Terracotta,,20,DLM10-0704,DLM10-0704-G20-10L,vaegmaling-glans-20,/qr/dlm10-0704-g20
https://www.denlillemalerfabrik.dk/qr/dlm10-0801-g5,Vægmaling — Rødler · Glans 5,color,Vægmaling,Rødler,,5,DLM10-0801,DLM10-0801-G5-10L,vaegmaling-glans-5,/qr/dlm10-0801-g5
https://www.denlillemalerfabrik.dk/qr/dlm10-0801-g7,Vægmaling — Rødler · Glans 7,color,Vægmaling,Rødler,,7,DLM10-0801,DLM10-0801-G7-10L,vaegmaling-glans-7,/qr/dlm10-0801-g7
